,id,song_name,image,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0,1aNyBuRfvXpehKQenw0VWu,Feeling Good Today,https://i.scdn.co/image/ab67616d0000b2734785d461b7c70d0328400ecd,0.0162,0.79,0.679,0.0,0.0824,-8.388,1,0.286,93.968,0.198
1,6F4Js3EwifmAKCaOG5030X,Breakfast in Monaco,https://i.scdn.co/image/ab67616d0000b27394fe7b36be4977c9b8505dc3,0.288,0.497,0.73,0.00107,0.246,-6.799,1,0.121,138.589,0.358
2,7GwnPoaNmKN6WNgXBZM8ui,Smoothies In 1991,https://i.scdn.co/image/ab67616d0000b27327e41ce6f9954c4f833bcde2,0.065,0.661,0.736,0.0,0.124,-6.876,1,0.287,91.917,0.652
3,1AlsXlzFCcXPhK39rt7MKt,"Corte Madera, CA",https://i.scdn.co/image/ab67616d0000b27394fe7b36be4977c9b8505dc3,0.245,0.59,0.735,0.0,0.274,-6.542,0,0.402,150.827,0.804
4,79z11cqTyAspHRhJjQl5gq,"Palisades, CA",https://i.scdn.co/image/ab67616d0000b27360bc4a5255b323583cefe763,0.0924,0.75,0.75,0.000452,0.373,-8.745,0,0.264,130.042,0.711
5,4WHduG4t2Bf6Lbit8qhBMW,Art Talk,https://i.scdn.co/image/ab67616d0000b27360bc4a5255b323583cefe763,0.362,0.44,0.525,0.0,0.115,-9.983,1,0.349,151.111,0.0985
6,0o4rl5T5VC5KCFXpLpN8Hn,Let's Drive To Vegas,https://i.scdn.co/image/ab67616d0000b27327e41ce6f9954c4f833bcde2,0.00978,0.576,0.716,0.0,0.135,-6.626,1,0.228,80.012,0.458
7,62AOPOiMe5qAE0zMYbiQS9,Intercepted (feat. Money Man),https://i.scdn.co/image/ab67616d0000b273f20a880a7e03644ab27f9cd4,0.185,0.633,0.723,0.0,0.17,-6.355,1,0.319,160.406,0.32
8,03KY38XTJIjCc1hgRBzYRW,Tangible Assets,https://i.scdn.co/image/ab67616d0000b273f20a880a7e03644ab27f9cd4,0.206,0.597,0.921,0.0,0.241,-6.702,0,0.372,140.452,0.756
9,0utHJ4RKZ63FXOiY7Qlds0,Solid Plan,https://i.scdn.co/image/ab67616d0000b27360bc4a5255b323583cefe763,0.262,0.416,0.613,0.0,0.715,-8.493,0,0.185,135.819,0.74
10,5JVC2ex8xhoIxq1HVoDTm6,Pop Out (feat. ScHoolboy Q),https://i.scdn.co/image/ab67616d0000b273e3b7e6d57c31486336272c7e,0.565,0.772,0.4,1.76e-05,0.111,-8.31,1,0.222,91.997,0.747
11,3z1vrV7UFQcvTEXkJe5erl,Gas Station Run,https://i.scdn.co/image/ab67616d0000b273951dd2afe5c64998e745f645,0.0916,0.856,0.667,0.0,0.559,-6.714,1,0.262,90.001,0.698
12,0p98fer5hbRIDyzXUs5qO0,Watering My Plants,https://i.scdn.co/image/ab67616d0000b273798eb7dbee9b7bb3545eea52,0.0541,0.572,0.578,1.12e-05,0.388,-6.68,0,0.266,76.697,0.77
13,6ufOCBTtagZkcu1h72oxW9,Won't Wait,https://i.scdn.co/image/ab67616d0000b273e3b7e6d57c31486336272c7e,0.129,0.507,0.554,0.0,0.162,-10.487,0,0.259,78.115,0.274
14,3zzyj2FVmYs8GQlxDYZpcR,Private Valet,https://i.scdn.co/image/ab67616d0000b27394fe7b36be4977c9b8505dc3,0.191,0.733,0.746,0.000861,0.673,-6.279,1,0.142,80.978,0.59
15,3jqDIUNeucuWy8dvRDHhVJ,Feels so Right,https://i.scdn.co/image/ab67616d0000b273ce693d9e8d864e159bb4f74d,0.0637,0.485,0.706,0.0,0.191,-8.803,1,0.406,78.151,0.564
16,2zWSW51P9x4b2NaeINz5QH,Margie's Candy House,https://i.scdn.co/image/ab67616d0000b27360bc4a5255b323583cefe763,0.447,0.402,0.734,3.42e-05,0.143,-8.307,0,0.186,84.01,0.873
17,4BcAnI8a0xr60SN4lmCCyb,Barragán Lighting,https://i.scdn.co/image/ab67616d0000b27360bc4a5255b323583cefe763,0.163,0.36,0.593,6.78e-05,0.108,-10.94,1,0.258,73.093,0.477
18,1iJvxe6uxU0afBhkHIDkbH,Mason Cafe,https://i.scdn.co/image/ab67616d0000b27327e41ce6f9954c4f833bcde2,0.0244,0.573,0.821,0.0,0.464,-7.691,1,0.419,112.156,0.811
